#    name       date    lon    lat    lev    value 
      v1  2000-01-02 -0.625  8.875      0  1.33855 
      v1  2000-01-03 -0.625  8.875      0 -0.561987 
      v1  2000-01-04 -0.625  8.875      0 -1.77161 
      v1  2000-01-05 -0.625  8.875      0 -1.28631 
      v1  2000-01-06 -0.625  8.875      0  -1.4005 
      v1  2000-01-07 -0.625  8.875      0 -0.900865 
      v1  2000-01-08 -0.625  8.875      0 -0.877681 
      v1  2000-01-09 -0.625  8.875      0 -0.649653 
      v1  2000-01-10 -0.625  8.875      0 0.0522858 
      v1  2000-01-11 -0.625  8.875      0 0.935133 
      v1  2000-01-12 -0.625  8.875      0 0.836452 
      v1  2000-01-13 -0.625  8.875      0 0.719545 
      v1  2000-01-14 -0.625  8.875      0 0.545933 
      v1  2000-01-15 -0.625  8.875      0 0.549278 
      v1  2000-01-16 -0.625  8.875      0 0.474064 
      v1  2000-01-17 -0.625  8.875      0 -0.411854 
      v1  2000-01-18 -0.625  8.875      0 -0.0614152 
      v1  2000-01-19 -0.625  8.875      0  1.16912 
      v1  2000-01-20 -0.625  8.875      0  1.76458 
      v1  2000-01-21 -0.625  8.875      0  1.58383 
      v1  2000-01-22 -0.625  8.875      0  1.54792 
      v1  2000-01-23 -0.625  8.875      0 0.540982 
      v1  2000-01-24 -0.625  8.875      0   1.9069 
      v1  2000-01-25 -0.625  8.875      0  2.29185 
      v1  2000-01-26 -0.625  8.875      0  1.90452 
      v1  2000-01-27 -0.625  8.875      0  1.30601 
      v1  2000-01-28 -0.625  8.875      0 0.297443 
      v1  2000-01-29 -0.625  8.875      0 0.266794 
      v1  2000-01-30 -0.625  8.875      0 -0.73664 
      v1  2000-01-31 -0.625  8.875      0 -2.35527 
      v1  2000-02-01 -0.625  8.875      0 -1.48388 
      v1  2000-02-02 -0.625  8.875      0 -2.13905 
      v1  2000-02-03 -0.625  8.875      0 -2.31628 
      v1  2000-02-04 -0.625  8.875      0 -2.09245 
      v1  2000-02-05 -0.625  8.875      0 -1.65763 
      v1  2000-02-06 -0.625  8.875      0 -1.33757 
      v1  2000-02-07 -0.625  8.875      0 -2.00517 
      v1  2000-02-08 -0.625  8.875      0 -1.93211 
      v1  2000-02-09 -0.625  8.875      0  -2.1796 
      v1  2000-02-10 -0.625  8.875      0  -2.0642 
      v1  2000-02-11 -0.625  8.875      0 -1.71345 
      v1  2000-02-12 -0.625  8.875      0 -1.31862 
      v1  2000-02-13 -0.625  8.875      0 -1.63834 
      v1  2000-02-14 -0.625  8.875      0 -1.47587 
      v1  2000-02-15 -0.625  8.875      0 -1.80025 
      v1  2000-02-16 -0.625  8.875      0 -1.62461 
      v1  2000-02-17 -0.625  8.875      0 -1.40471 
      v1  2000-02-18 -0.625  8.875      0 -0.898759 
      v1  2000-02-19 -0.625  8.875      0 -1.33393 
      v1  2000-02-20 -0.625  8.875      0 -1.46068 
      v1  2000-02-21 -0.625  8.875      0 -0.162976 
      v1  2000-02-22 -0.625  8.875      0 0.760694 
      v1  2000-02-23 -0.625  8.875      0 0.206957 
      v1  2000-02-24 -0.625  8.875      0  0.98074 
      v1  2000-02-25 -0.625  8.875      0 0.235982 
      v1  2000-02-26 -0.625  8.875      0  1.00194 
      v1  2000-02-27 -0.625  8.875      0 -0.403061 
      v1  2000-02-28 -0.625  8.875      0 -0.305342 
      v1  2000-02-29 -0.625  8.875      0 0.330165 
      v1  2000-03-01 -0.625  8.875      0 0.149129 
      v1  2000-03-02 -0.625  8.875      0 -0.902988 
      v1  2000-03-03 -0.625  8.875      0 -0.684026 
      v1  2000-03-04 -0.625  8.875      0 0.167659 
      v1  2000-03-05 -0.625  8.875      0 0.395631 
      v1  2000-03-06 -0.625  8.875      0 0.255608 
      v1  2000-03-07 -0.625  8.875      0 0.0725875 
      v1  2000-03-08 -0.625  8.875      0 -0.609568 
      v1  2000-03-09 -0.625  8.875      0 -0.222522 
      v1  2000-03-10 -0.625  8.875      0 -0.998287 
      v1  2000-03-11 -0.625  8.875      0 -1.02763 
      v1  2000-03-12 -0.625  8.875      0  -1.7422 
      v1  2000-03-13 -0.625  8.875      0 -0.962449 
      v1  2000-03-14 -0.625  8.875      0 -1.03449 
      v1  2000-03-15 -0.625  8.875      0 -1.07822 
      v1  2000-03-16 -0.625  8.875      0 0.744646 
      v1  2000-03-17 -0.625  8.875      0  1.27177 
      v1  2000-03-18 -0.625  8.875      0   1.3353 
      v1  2000-03-19 -0.625  8.875      0  2.46049 
      v1  2000-03-20 -0.625  8.875      0  2.47377 
      v1  2000-03-21 -0.625  8.875      0  1.00625 
      v1  2000-03-22 -0.625  8.875      0 0.592113 
      v1  2000-03-23 -0.625  8.875      0   1.1465 
      v1  2000-03-24 -0.625  8.875      0  1.57757 
      v1  2000-03-25 -0.625  8.875      0  1.45486 
      v1  2000-03-26 -0.625  8.875      0  2.83533 
      v1  2000-03-27 -0.625  8.875      0  2.18035 
      v1  2000-03-28 -0.625  8.875      0   2.0655 
      v1  2000-03-29 -0.625  8.875      0   1.7657 
      v1  2000-03-30 -0.625  8.875      0  1.73787 
      v1  2000-03-31 -0.625  8.875      0  1.75431 
      v1  2000-04-01 -0.625  8.875      0  2.17234 
      v1  2000-04-02 -0.625  8.875      0  1.97819 
      v1  2000-04-03 -0.625  8.875      0  2.93629 
      v1  2000-04-04 -0.625  8.875      0  2.23567 
      v1  2000-04-05 -0.625  8.875      0   1.5374 
      v1  2000-04-06 -0.625  8.875      0  2.17308 
      v1  2000-04-07 -0.625  8.875      0   2.7838 
      v1  2000-04-08 -0.625  8.875      0  2.72389 
      v1  2000-04-09 -0.625  8.875      0  2.36501 
      v1  2000-04-10 -0.625  8.875      0  1.96366 
      v1  2000-04-11 -0.625  8.875      0  2.30239 
      v1  2000-04-12 -0.625  8.875      0  2.72334 
      v1  2000-04-13 -0.625  8.875      0  2.61487 
      v1  2000-04-14 -0.625  8.875      0  2.09518 
      v1  2000-04-15 -0.625  8.875      0  2.07496 
      v1  2000-04-16 -0.625  8.875      0  2.98084 
      v1  2000-04-17 -0.625  8.875      0   2.5631 
      v1  2000-04-18 -0.625  8.875      0  2.80979 
      v1  2000-04-19 -0.625  8.875      0  2.50654 
      v1  2000-04-20 -0.625  8.875      0  1.84581 
      v1  2000-04-21 -0.625  8.875      0   2.0829 
      v1  2000-04-22 -0.625  8.875      0  2.73618 
      v1  2000-04-23 -0.625  8.875      0  1.64585 
      v1  2000-04-24 -0.625  8.875      0  1.38125 
      v1  2000-04-25 -0.625  8.875      0  1.22114 
      v1  2000-04-26 -0.625  8.875      0  2.15941 
      v1  2000-04-27 -0.625  8.875      0  1.87858 
      v1  2000-04-28 -0.625  8.875      0  2.20821 
      v1  2000-04-29 -0.625  8.875      0  2.46102 
      v1  2000-04-30 -0.625  8.875      0  2.16679 
      v1  2000-05-01 -0.625  8.875      0  1.75703 
      v1  2000-05-02 -0.625  8.875      0  1.95007 
      v1  2000-05-03 -0.625  8.875      0  1.95149 
      v1  2000-05-04 -0.625  8.875      0  1.16481 
      v1  2000-05-05 -0.625  8.875      0  1.54357 
      v1  2000-05-06 -0.625  8.875      0  2.35421 
      v1  2000-05-07 -0.625  8.875      0  2.66424 
      v1  2000-05-08 -0.625  8.875      0  2.15321 
      v1  2000-05-09 -0.625  8.875      0  2.25867 
      v1  2000-05-10 -0.625  8.875      0   1.4308 
      v1  2000-05-11 -0.625  8.875      0  1.88504 
      v1  2000-05-12 -0.625  8.875      0  2.39251 
      v1  2000-05-13 -0.625  8.875      0  2.14894 
      v1  2000-05-14 -0.625  8.875      0  2.36772 
      v1  2000-05-15 -0.625  8.875      0  2.44428 
      v1  2000-05-16 -0.625  8.875      0  2.59738 
      v1  2000-05-17 -0.625  8.875      0  1.94489 
      v1  2000-05-18 -0.625  8.875      0  2.28187 
      v1  2000-05-19 -0.625  8.875      0  2.41884 
      v1  2000-05-20 -0.625  8.875      0  2.71624 
      v1  2000-05-21 -0.625  8.875      0  1.82845 
      v1  2000-05-22 -0.625  8.875      0  1.80063 
      v1  2000-05-23 -0.625  8.875      0  1.56442 
      v1  2000-05-24 -0.625  8.875      0  1.89733 
      v1  2000-05-25 -0.625  8.875      0  2.15419 
      v1  2000-05-26 -0.625  8.875      0  1.66618 
      v1  2000-05-27 -0.625  8.875      0   1.9687 
      v1  2000-05-28 -0.625  8.875      0  2.30415 
      v1  2000-05-29 -0.625  8.875      0  1.80122 
      v1  2000-05-30 -0.625  8.875      0  1.93489 
      v1  2000-05-31 -0.625  8.875      0  2.27938 
      v1  2000-06-01 -0.625  8.875      0  1.96106 
      v1  2000-06-02 -0.625  8.875      0  1.78103 
      v1  2000-06-03 -0.625  8.875      0  1.73876 
      v1  2000-06-04 -0.625  8.875      0  2.24468 
      v1  2000-06-05 -0.625  8.875      0  2.18855 
      v1  2000-06-06 -0.625  8.875      0  1.72973 
      v1  2000-06-07 -0.625  8.875      0  1.22156 
      v1  2000-06-08 -0.625  8.875      0   1.3503 
      v1  2000-06-09 -0.625  8.875      0 0.895065 
      v1  2000-06-10 -0.625  8.875      0  1.04767 
      v1  2000-06-11 -0.625  8.875      0  1.91347 
      v1  2000-06-12 -0.625  8.875      0  1.96724 
      v1  2000-06-13 -0.625  8.875      0  1.79963 
      v1  2000-06-14 -0.625  8.875      0  1.69467 
      v1  2000-06-15 -0.625  8.875      0   1.7738 
      v1  2000-06-16 -0.625  8.875      0  2.19758 
      v1  2000-06-17 -0.625  8.875      0  1.79929 
      v1  2000-06-18 -0.625  8.875      0  2.09512 
      v1  2000-06-19 -0.625  8.875      0  1.44746 
      v1  2000-06-20 -0.625  8.875      0  1.35255 
      v1  2000-06-21 -0.625  8.875      0   1.2617 
      v1  2000-06-22 -0.625  8.875      0  1.00802 
      v1  2000-06-23 -0.625  8.875      0  1.41699 
      v1  2000-06-24 -0.625  8.875      0  1.30818 
      v1  2000-06-25 -0.625  8.875      0  1.18487 
      v1  2000-06-26 -0.625  8.875      0  1.32876 
      v1  2000-06-27 -0.625  8.875      0  1.21167 
      v1  2000-06-28 -0.625  8.875      0  1.39302 
      v1  2000-06-29 -0.625  8.875      0  1.43106 
      v1  2000-06-30 -0.625  8.875      0  1.76198 
      v1  2000-07-01 -0.625  8.875      0  1.73966 
      v1  2000-07-02 -0.625  8.875      0  1.76824 
      v1  2000-07-03 -0.625  8.875      0  1.20516 
      v1  2000-07-04 -0.625  8.875      0  1.66001 
      v1  2000-07-05 -0.625  8.875      0  1.91831 
      v1  2000-07-06 -0.625  8.875      0  1.27556 
      v1  2000-07-07 -0.625  8.875      0  1.26168 
      v1  2000-07-08 -0.625  8.875      0   1.1137 
      v1  2000-07-09 -0.625  8.875      0  1.67899 
      v1  2000-07-10 -0.625  8.875      0  1.83465 
      v1  2000-07-11 -0.625  8.875      0  1.94606 
      v1  2000-07-12 -0.625  8.875      0  1.44448 
      v1  2000-07-13 -0.625  8.875      0  1.04782 
      v1  2000-07-14 -0.625  8.875      0  1.48819 
      v1  2000-07-15 -0.625  8.875      0  1.90387 
      v1  2000-07-16 -0.625  8.875      0   1.8694 
      v1  2000-07-17 -0.625  8.875      0  1.26955 
      v1  2000-07-18 -0.625  8.875      0  1.32956 
      v1  2000-07-19 -0.625  8.875      0  1.26914 
      v1  2000-07-20 -0.625  8.875      0   1.1829 
      v1  2000-07-21 -0.625  8.875      0  1.17216 
      v1  2000-07-22 -0.625  8.875      0 0.848481 
      v1  2000-07-23 -0.625  8.875      0  1.46804 
      v1  2000-07-24 -0.625  8.875      0  1.55664 
      v1  2000-07-25 -0.625  8.875      0  1.41689 
      v1  2000-07-26 -0.625  8.875      0  1.33627 
      v1  2000-07-27 -0.625  8.875      0 0.880732 
      v1  2000-07-28 -0.625  8.875      0  0.72676 
      v1  2000-07-29 -0.625  8.875      0  1.43374 
      v1  2000-07-30 -0.625  8.875      0  2.24268 
      v1  2000-07-31 -0.625  8.875      0  1.80636 
      v1  2000-08-01 -0.625  8.875      0 0.553274 
      v1  2000-08-02 -0.625  8.875      0 0.616736 
      v1  2000-08-03 -0.625  8.875      0  1.85716 
      v1  2000-08-04 -0.625  8.875      0 0.623899 
      v1  2000-08-05 -0.625  8.875      0 0.909184 
      v1  2000-08-06 -0.625  8.875      0  1.22808 
      v1  2000-08-07 -0.625  8.875      0  1.67776 
      v1  2000-08-08 -0.625  8.875      0  1.21291 
      v1  2000-08-09 -0.625  8.875      0  1.00966 
      v1  2000-08-10 -0.625  8.875      0    1.613 
      v1  2000-08-11 -0.625  8.875      0  1.13462 
      v1  2000-08-12 -0.625  8.875      0 0.978103 
      v1  2000-08-13 -0.625  8.875      0  0.86409 
      v1  2000-08-14 -0.625  8.875      0  1.05892 
      v1  2000-08-15 -0.625  8.875      0  1.27735 
      v1  2000-08-16 -0.625  8.875      0  1.48674 
      v1  2000-08-17 -0.625  8.875      0  1.13234 
      v1  2000-08-18 -0.625  8.875      0  1.73981 
      v1  2000-08-19 -0.625  8.875      0  1.59166 
      v1  2000-08-20 -0.625  8.875      0  1.25608 
      v1  2000-08-21 -0.625  8.875      0 0.555768 
      v1  2000-08-22 -0.625  8.875      0 0.830692 
      v1  2000-08-23 -0.625  8.875      0  1.60762 
      v1  2000-08-24 -0.625  8.875      0  1.76978 
      v1  2000-08-25 -0.625  8.875      0  1.01776 
      v1  2000-08-26 -0.625  8.875      0  1.00785 
      v1  2000-08-27 -0.625  8.875      0  1.22551 
      v1  2000-08-28 -0.625  8.875      0  1.53348 
      v1  2000-08-29 -0.625  8.875      0  1.20169 
      v1  2000-08-30 -0.625  8.875      0  1.21785 
